Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
"848 Clothing accessories, nes",2018-09,9522.660999999998,86.808,59669.78700000002,29268.709,1.3,-1.3,0.4,1.9
851 Footwear,2018-09,9908.071000000002,1435.486,199128.464,112314.954,1.3,-1.3,0.4,1.9
871 Optical instruments,2018-09,8842.617000000004,4.121,30887.969000000005,2868.265,1.3,-1.3,0.4,1.9
872 Medical instruments (incl veterinary),2018-09,135271.143,16865.588,277958.918,30524.188,1.3,-1.3,0.4,1.9
873 Meters & counters,2018-09,1054.247,52.349,16659.069000000003,4661.147,1.3,-1.3,0.4,1.9
874 Measuring & analysing instruments,2018-09,99863.90700000002,8610.259,277804.577,29437.411,1.3,-1.3,0.4,1.9
881 Photographic equipment,2018-09,5744.759,12.716,5782.61,1886.831,1.3,-1.3,0.4,1.9
882 Photo & cinematographic supplies,2018-09,1296.621,0.762,11909.404999999999,1343.366,1.3,-1.3,0.4,1.9
"883 Cinematographic film, developed",2018-09,,,,,1.3,-1.3,0.4,1.9
"884 Optical goods, nes",2018-09,20868.362,205.219,83171.06100000002,30964.197,1.3,-1.3,0.4,1.9
885 Watches & clocks,2018-09,11804.026,15.847,64940.890999999996,15108.319,1.3,-1.3,0.4,1.9
891 Arms & ammunition,2018-09,8802.032,,39373.06399999999,518.477,1.3,-1.3,0.4,1.9
892 Printed matter,2018-09,31580.861000000008,418.017,96763.993,28439.47,1.3,-1.3,0.4,1.9
"893 Plastic articles, nes",2018-09,28592.08199999999,2348.974,326569.45599999995,186471.305,1.3,-1.3,0.4,1.9
"894 Prams, toys, games & sporting goods",2018-09,42494.584,899.291,376813.8700000003,292106.746,1.3,-1.3,0.4,1.9
"895 Office & stationery supplies, nes",2018-09,1345.6789999999999,2.984,25055.42600000001,11470.957,1.3,-1.3,0.4,1.9
896 Artwork & antiques,2018-09,13384.577000000001,239.863,20196.375999999997,1221.334,1.3,-1.3,0.4,1.9
897 Jewellery,2018-09,51716.18,58.204,127564.27999999998,24627.314,1.3,-1.3,0.4,1.9
898 Musical instruments & parts,2018-09,14721.949,544.961,85081.02199999997,23055.584,1.3,-1.3,0.4,1.9
"899 Misc manufactured articles, nes",2018-09,97510.30199999998,3828.099,230090.016,49657.899,1.3,-1.3,0.4,1.9
931 Special transactions & commodities,2018-09,107193.238,3152.169,178.60899999999998,,1.3,-1.3,0.4,1.9
951 Gold coin & legal tender coin,2018-09,112954.56199999999,520.678,2841.2419999999997,8.753,1.3,-1.3,0.4,1.9
961 Coin (excl gold coin) not legal tender,2018-09,37.82,,645.757,105.955,1.3,-1.3,0.4,1.9
971 Gold,2018-09,1384648.7580000001,455555.073,359032.45999999996,84.277,1.3,-1.3,0.4,1.9
988 Confidential items of trade,2018-09,425076.5090000001,1698529.294,341648.4169999999,59440.849,1.3,-1.3,0.4,1.9
Grand Total,2018-09,29503728.09800002,10060908.721000008,25026893.342999984,6645794.1120000025,1.3,-1.3,0.4,1.9
001 Live animals (excl seafood),2018-12,187623.55899999998,53611.897,6281.706000000001,,-0.6,-0.4,0.2,1.8
"011 Beef, f.c.f.",2018-12,848267.6690000001,152281.424,1305.463,,-0.6,-0.4,0.2,1.8
"012 Meat (excl beef), f.c.f.",2018-12,452984.2590000001,91073.084,53600.431000000004,,-0.6,-0.4,0.2,1.8
"016 Meat, salted or dried",2018-12,81.97699999999999,,4112.816,,-0.6,-0.4,0.2,1.8
"017 Meat, prepared or preserved",2018-12,10972.884,132.925,16597.927,124.759,-0.6,-0.4,0.2,1.8
"022 Milk, cream, whey & yoghurt",2018-12,118805.56999999998,40600.885,29719.148999999998,809.321,-0.6,-0.4,0.2,1.8
023 Butter,2018-12,9748.433,1389.503,21547.965,,-0.6,-0.4,0.2,1.8
024 Cheese & curd,2018-12,106665.48899999997,12664.098,57369.94799999999,,-0.6,-0.4,0.2,1.8
025 Birds' eggs,2018-12,1296.116,,895.356,125.95,-0.6,-0.4,0.2,1.8
"034 Fish, f.c.f.",2018-12,29244.751999999993,18071.074,46108.03399999999,4029.597,-0.6,-0.4,0.2,1.8
"035 Fish, salted or dried",2018-12,518.6990000000001,13.909,11521.325,297.901,-0.6,-0.4,0.2,1.8
"036 Crustaceans, f.c.f.",2018-12,106026.50100000002,81251.269,48056.80699999999,16189.991,-0.6,-0.4,0.2,1.8
"037 Seafood, prepared or preserved",2018-12,7022.412,56.842,76742.828,8697.089,-0.6,-0.4,0.2,1.8
041 Wheat,2018-12,286964.798,1491.316,78.446,,-0.6,-0.4,0.2,1.8
042 Rice,2018-12,23183.379,,22762.94,180.748,-0.6,-0.4,0.2,1.8
043 Barley,2018-12,362461.61700000014,319352.824,13.072999999999999,12.059,-0.6,-0.4,0.2,1.8
044 Maize,2018-12,873.7410000000001,13.69,76.97500000000001,,-0.6,-0.4,0.2,1.8
045 Other cereals,2018-12,1134.174,,1283.071,122.096,-0.6,-0.4,0.2,1.8
046 Wheat flour,2018-12,1742.7329999999997,195.908,2310.0660000000007,33.987,-0.6,-0.4,0.2,1.8
047 Other cereal flours,2018-12,1019.453,10.679,1948.972,71.604,-0.6,-0.4,0.2,1.8
048 Cereal preparations,2018-12,64975.32300000001,4866.335,98028.224,6520.511,-0.6,-0.4,0.2,1.8
"054 Vegetables, f.c.f.",2018-12,107318.995,387.82,17891.684,3840.151,-0.6,-0.4,0.2,1.8
"056 Vegetables, prepared or preserved",2018-12,6475.190000000001,359.943,60417.376,7379.707,-0.6,-0.4,0.2,1.8
057 Fruit & nuts,2018-12,142207.262,47734.898,87069.063,3124.025,-0.6,-0.4,0.2,1.8
"058 Fruit, prepared or preserved",2018-12,5209.294,1016.07,49647.553,5993.07,-0.6,-0.4,0.2,1.8
059 Fruit juices,2018-12,6060.455000000002,2259.825,17611.025999999994,3752.209,-0.6,-0.4,0.2,1.8
"061 Sugars, molasses & honey",2018-12,19476.066000000003,1680.931,16442.707,2484.008,-0.6,-0.4,0.2,1.8
062 Sugar confectionery,2018-12,8122.955999999999,212.331,23156.659999999996,6444.196,-0.6,-0.4,0.2,1.8
071 Coffee & substitutes,2018-12,6441.015999999998,225.685,66519.74500000001,213.226,-0.6,-0.4,0.2,1.8
072 Cocoa,2018-12,131.383,7.642,22493.474,29.826,-0.6,-0.4,0.2,1.8
073 Chocolate & preparations of cocoa,2018-12,28040.186999999998,989.037,52154.11899999999,2464.45,-0.6,-0.4,0.2,1.8
074 Tea & mate,2018-12,2550.9879999999994,32.712,10640.885999999999,1486.214,-0.6,-0.4,0.2,1.8
075 Spices,2018-12,2189.053,9.344,9857.618999999999,804.273,-0.6,-0.4,0.2,1.8
081 Animal feed,2018-12,119645.50400000004,13753.153,94760.855,1856.555,-0.6,-0.4,0.2,1.8
091 Margarine,2018-12,8904.558,492.924,3911.7099999999996,31.398,-0.6,-0.4,0.2,1.8
"098 Edible products & preparations, nes",2018-12,226977.15600000013,136341.578,293942.71099999995,19032.05,-0.6,-0.4,0.2,1.8
"111 Non-alcoholic beverages, nes",2018-12,6285.107999999998,444.253,38407.72699999999,564.263,-0.6,-0.4,0.2,1.8
112 Alcoholic beverages,2018-12,402224.74399999995,189652.094,168252.64,9152.363,-0.6,-0.4,0.2,1.8
"121 Tobacco, unmanufactured",2018-12,,,,,-0.6,-0.4,0.2,1.8
"122 Tobacco, manufactured",2018-12,5028.3060000000005,,98895.205,4600.304,-0.6,-0.4,0.2,1.8
"211 Hides & skins, raw (excl furskins)",2018-12,59225.98499999999,49899.731,139.718,,-0.6,-0.4,0.2,1.8
"212 Furskins, raw",2018-12,8.88,,,,-0.6,-0.4,0.2,1.8
"222 Oil-seeds & oleaginous fruits, soft",2018-12,99047.95100000003,5.6,7457.835999999998,810.434,-0.6,-0.4,0.2,1.8
"223 Oil-seeds & oleaginous fruits, hard",2018-12,1263.9020000000003,141.901,4250.963000000001,2304.682,-0.6,-0.4,0.2,1.8
231 Natural rubber,2018-12,169.868,,608.0129999999999,10.246,-0.6,-0.4,0.2,1.8
232 Synthetic rubber,2018-12,2073.9139999999998,5.525,7909.779,816.121,-0.6,-0.4,0.2,1.8
244 Cork,2018-12,,,13.974,,-0.6,-0.4,0.2,1.8
245 Fuel wood,2018-12,2199.2780000000002,2171.354,1641.2849999999999,152.678,-0.6,-0.4,0.2,1.8
246 Wood in chips or particles,2018-12,139181.34399999998,84079.019,1286.2610000000002,33.527,-0.6,-0.4,0.2,1.8
"247 Wood, rough",2018-12,55111.16599999999,53988.745,1557.655,,-0.6,-0.4,0.2,1.8
"248 Wood, simply worked",2018-12,7876.583000000002,1797.53,69560.10299999999,5063.805,-0.6,-0.4,0.2,1.8
251 Pulp & waste paper,2018-12,21724.067000000003,12134.405,20185.24,71.389,-0.6,-0.4,0.2,1.8
261 Silk,2018-12,,,2.343,,-0.6,-0.4,0.2,1.8
263 Cotton,2018-12,189739.109,137844.338,55.342,,-0.6,-0.4,0.2,1.8
264 Jute,2018-12,3.838,,,,-0.6,-0.4,0.2,1.8
265 Other vegetable textile fibres,2018-12,5.205,,213.428,,-0.6,-0.4,0.2,1.8
266 Synthetic fibres,2018-12,71.714,,4301.524,468.448,-0.6,-0.4,0.2,1.8
267 Other man-made fibres,2018-12,34.898,21.78,548.79,,-0.6,-0.4,0.2,1.8
268 Wool & other animal hair (incl tops),2018-12,329505.66899999994,246173.194,480.005,109.634,-0.6,-0.4,0.2,1.8
269 Worn clothing & rags,2018-12,6888.119,,1482.681,97.492,-0.6,-0.4,0.2,1.8
272 Crude fertilisers,2018-12,1111.1809999999998,148.895,1354.1150000000005,317.083,-0.6,-0.4,0.2,1.8
"273 Stone, sand & gravel",2018-12,9016.491,276.858,2355.422,626.375,-0.6,-0.4,0.2,1.8
274 Sulphur & iron pyrites,2018-12,,,2885.316,,-0.6,-0.4,0.2,1.8
277 Natural abrasives,2018-12,11234.789999999999,,520.826,282.804,-0.6,-0.4,0.2,1.8
"278 Crude minerals, nes",2018-12,153648.95099999997,145963.282,8277.753999999999,2746.324,-0.6,-0.4,0.2,1.8
280 Confidential mineral ores,2018-12,381793.612,,,,-0.6,-0.4,0.2,1.8
281 Iron ores & concentrates,2018-12,6123694.163000001,4871343.982,48.644,38.881,-0.6,-0.4,0.2,1.8
282 Ferrous waste & scrap,2018-12,106113.31899999999,755.555,55.34,,-0.6,-0.4,0.2,1.8
283 Copper ores & concentrates,2018-12,755197.2939999999,252981.729,1480.836,,-0.6,-0.4,0.2,1.8
284 Nickel ores & concentrates,2018-12,9173.474999999999,8910.176,65.082,,-0.6,-0.4,0.2,1.8
285 Aluminium ores & conc (incl alumina),2018-12,1034150.254,103021.816,1066.0620000000001,693.53,-0.6,-0.4,0.2,1.8
287 Other ores & concentrates,2018-12,432364.35899999994,235913.893,56104.47900000001,,-0.6,-0.4,0.2,1.8
288 Non-ferrous waste & scrap,2018-12,158776.22700000004,33627.616,823.776,,-0.6,-0.4,0.2,1.8
289 Precious metal ores & conc (excl gold),2018-12,143807.426,50212.431,75.563,,-0.6,-0.4,0.2,1.8
"291 Crude animal matter, nes",2018-12,38935.17,14500.005,12236.225999999997,1237.638,-0.6,-0.4,0.2,1.8
"292 Crude vegetable matter, nes",2018-12,14156.188999999993,417.282,43258.505999999994,6956.359,-0.6,-0.4,0.2,1.8
321 Coal,2018-12,6181391.743000001,1439638.949,79.65100000000001,78.26,-0.6,-0.4,0.2,1.8
"322 Briquettes, lignite & peat",2018-12,43.434,,1224.693,,-0.6,-0.4,0.2,1.8
325 Coke & semi-coke,2018-12,,,75.857,47.09,-0.6,-0.4,0.2,1.8
333 Crude petroleum,2018-12,630283.823,49593.602,991914.0299999999,,-0.6,-0.4,0.2,1.8
334 Refined petroleum,2018-12,227039.12599999996,2351.509,2020943.041,266617.051,-0.6,-0.4,0.2,1.8
"335 Residual petroleum products, nes",2018-12,6938.706999999999,490.16,87419.76899999999,7955.196,-0.6,-0.4,0.2,1.8
342 Liquefied propane & butane,2018-12,132268.013,,30049.254999999997,97.268,-0.6,-0.4,0.2,1.8
343 Natural gas,2018-12,4659341.183,,0,,-0.6,-0.4,0.2,1.8
344 Petroleum gases,2018-12,3992.73,3783.558,455.509,123.398,-0.6,-0.4,0.2,1.8
"345 Coal gas, water gas & similar gases",2018-12,,,,,-0.6,-0.4,0.2,1.8
411 Animal oils & fats,2018-12,30748.403,3783.289,7429.144999999999,1289.789,-0.6,-0.4,0.2,1.8
"421 Fixed vegetable oils & fats, soft",2018-12,16356.473,655.61,27585.11,508.637,-0.6,-0.4,0.2,1.8
"422 Fixed vegetable oils & fats, hard",2018-12,1983.82,,21175.669999999995,118.873,-0.6,-0.4,0.2,1.8
"431 Other animal or veg oils, fats & waxes",2018-12,3323.2359999999994,,3395.209,438.291,-0.6,-0.4,0.2,1.8
511 Hydrocarbons & derivatives,2018-12,36.498999999999995,,9841.735,3888.329,-0.6,-0.4,0.2,1.8
"512 Alcohols, phenols & derivatives",2018-12,4472.130999999999,20.099,17076.64,2458.806,-0.6,-0.4,0.2,1.8
513 Carboxylic acids & derivatives,2018-12,3206.0870000000004,,25835.415,12304.308,-0.6,-0.4,0.2,1.8
514 Nitrogen-function compounds,2018-12,4595.415,304.161,41595.627,17632.32,-0.6,-0.4,0.2,1.8
515 Organo-inorganic compounds,2018-12,716.8929999999999,,68675.25200000001,39220.883,-0.6,-0.4,0.2,1.8
516 Other organic chemicals,2018-12,3008.3270000000007,832.503,14150.722000000003,3948.809,-0.6,-0.4,0.2,1.8
522 Inorganic chemical elements,2018-12,47812.338,221.655,23485.018999999997,8955.644,-0.6,-0.4,0.2,1.8
523 Salts of inorganic acids & metals,2018-12,7572.5769999999975,428.072,50990.54700000001,18855.014,-0.6,-0.4,0.2,1.8
524 Other inorganic chemicals,2018-12,667.1600000000001,5.774,5865.990999999999,581.64,-0.6,-0.4,0.2,1.8
525 Radioactive materials,2018-12,4277.141,370.718,7082.832999999999,47.222,-0.6,-0.4,0.2,1.8
531 Synthetic organic colouring,2018-12,1065.1809999999998,248.461,5842.809999999999,1457.378,-0.6,-0.4,0.2,1.8
532 Dyeing & tanning extracts,2018-12,821.652,176.307,2893.3050000000003,191.913,-0.6,-0.4,0.2,1.8
"533 Pigments, paints & varnishes",2018-12,80125.49199999998,7564.046,69136.216,7116.461,-0.6,-0.4,0.2,1.8
541 Pharm products (excl medicaments),2018-12,173414.02899999998,48059.929,343498.2140000001,13674.451,-0.6,-0.4,0.2,1.8
542 Medicaments (incl veterinary),2018-12,208091.49399999995,86436.638,494004.27,4922.003,-0.6,-0.4,0.2,1.8
551 Essential oils & perfumes,2018-12,12166.507999999998,546.202,27395.649,1772.366,-0.6,-0.4,0.2,1.8
553 Perfumery & cosmetics (excl soap),2018-12,81620.42400000001,9209.982,189191.29699999993,13451.189,-0.6,-0.4,0.2,1.8
554 Soap & cleansers,2018-12,27668.814999999995,6443.426,69304.662,14192.91,-0.6,-0.4,0.2,1.8
562 Fertilisers (excl crude),2018-12,22317.400999999998,347.539,159184.91,63415.711,-0.6,-0.4,0.2,1.8
571 Primary ethylene polymers,2018-12,859.043,274.239,38033.21400000001,,-0.6,-0.4,0.2,1.8
572 Primary styrene polymers,2018-12,750.739,121.731,10649.383,463.904,-0.6,-0.4,0.2,1.8
573 Primary vinyl chloride polymers,2018-12,248.64700000000002,24.929,16101.721,401.46,-0.6,-0.4,0.2,1.8
574 Primary polyacetals,2018-12,3861.914,652.422,28913.491999999995,3547.571,-0.6,-0.4,0.2,1.8
575 Other primary plastics,2018-12,14382.048999999999,1246.245,63803.39699999999,14168.87,-0.6,-0.4,0.2,1.8
579 Primary plastic waste & scrap,2018-12,2876.284,,684.1129999999999,113.592,-0.6,-0.4,0.2,1.8
"581 Plastic tubes, pipes & hoses",2018-12,14032.826000000003,465.411,37327.78199999999,12048.342,-0.6,-0.4,0.2,1.8
"582 Plastic plates, sheets & film",2018-12,27341.549,1336.291,113399.77800000002,26709.782,-0.6,-0.4,0.2,1.8
583 Plastic monofilament,2018-12,1761.699,1.017,8504.84,5239.428,-0.6,-0.4,0.2,1.8
"591 Insecticides, herbicides, disinfectants",2018-12,14649.006999999998,501.26,73585.38500000001,32428.258,-0.6,-0.4,0.2,1.8
"592 Starches, inulin & wheat gluten",2018-12,63959.74899999998,3876.681,32010.825,6804.568,-0.6,-0.4,0.2,1.8
593 Explosives & pyrotechnics,2018-12,2378.772,53.916,12722.392999999998,1825.202,-0.6,-0.4,0.2,1.8
597 Prepared additives for mineral oils,2018-12,9920.348000000002,825.416,28058.292000000005,948.908,-0.6,-0.4,0.2,1.8
"598 Miscellaneous chemical products, nes",2018-12,20700.103,476.815,102142.77700000002,11139.948,-0.6,-0.4,0.2,1.8
599 Residual chemical wastes,2018-12,65.717,,8.612,,-0.6,-0.4,0.2,1.8
611 Leather,2018-12,13085.898999999998,3143.476,2347.293,10.104,-0.6,-0.4,0.2,1.8
612 Leather manufactures,2018-12,1022.6869999999999,5.109,6607.619999999999,2800.105,-0.6,-0.4,0.2,1.8
"613 Furskins, tanned or dressed",2018-12,3.465,,646.713,263.854,-0.6,-0.4,0.2,1.8
621 Materials of rubber,2018-12,6755.927,348.769,30024.587,3787.726,-0.6,-0.4,0.2,1.8
"625 Rubber tyres, treads & tubes",2018-12,11108.525000000001,10.587,219577.65800000002,47600.993,-0.6,-0.4,0.2,1.8
"629 Rubber articles, nes",2018-12,12436.553000000004,460.907,56302.26800000002,13230.26,-0.6,-0.4,0.2,1.8
633 Cork manufactures,2018-12,47.50899999999999,,3894.648,139.189,-0.6,-0.4,0.2,1.8
"634 Veneers, plywood & particle board",2018-12,3529.129,1441.991,45716.645000000004,21025.672,-0.6,-0.4,0.2,1.8
"635 Wood manufactures, nes",2018-12,2210.763,27.377,65804.63199999998,26159.083,-0.6,-0.4,0.2,1.8
641 Paper & paperboard,2018-12,71768.204,10750.65,114064.04599999997,21861.936,-0.6,-0.4,0.2,1.8
"642 Paper & paperboard, cut to size",2018-12,12016.428,57.165,120071.23599999999,56419.702,-0.6,-0.4,0.2,1.8
651 Textile yarn,2018-12,945.7209999999999,47.821,14571.218999999997,3936.636,-0.6,-0.4,0.2,1.8
"652 Cotton fabrics, woven",2018-12,258.44899999999996,35.675,5256.834999999999,1525.333,-0.6,-0.4,0.2,1.8
"653 Man-made fabrics, woven",2018-12,2358.018,241.444,10626.801999999998,4844.364,-0.6,-0.4,0.2,1.8
"654 Other textile fabrics, woven",2018-12,780.7879999999999,168.574,5424.779,1592.509,-0.6,-0.4,0.2,1.8
655 Knitted or crocheted fabrics,2018-12,324.397,19.366,6279.8,2882.191,-0.6,-0.4,0.2,1.8
"656 Tulles, lace & ribbons",2018-12,119.02100000000002,5.286,2823.8,1712.237,-0.6,-0.4,0.2,1.8
657 Special yarns & fabrics,2018-12,8488.416999999998,1194.923,42001.774,16487.946,-0.6,-0.4,0.2,1.8
"658 Made-up textile articles, nes",2018-12,6027.315,848.35,144506.219,89914.73,-0.6,-0.4,0.2,1.8
659 Floor coverings,2018-12,3396.5899999999997,70.608,40245.116999999984,10715.171,-0.6,-0.4,0.2,1.8
"661 Lime, cement & construction materials",2018-12,1867.5129999999997,5.714,47318.033,14353.612,-0.6,-0.4,0.2,1.8
662 Clay construction materials,2018-12,2366.697,8.447,38675.87500000001,19115.229,-0.6,-0.4,0.2,1.8
"663 Mineral manufactures, nes",2018-12,8988.395,80.061,58364.27199999999,20830.301,-0.6,-0.4,0.2,1.8
664 Glass,2018-12,2577.1380000000004,60.205,40318.089000000014,24629.472,-0.6,-0.4,0.2,1.8
665 Glassware,2018-12,4103.329,326.305,36688.78600000001,18162.66,-0.6,-0.4,0.2,1.8
666 Pottery,2018-12,1391.0300000000002,2.428,15054.407000000003,11546.313,-0.6,-0.4,0.2,1.8
667 Pearls & gems,2018-12,25225.409000000003,16.716,43569.42299999998,383.921,-0.6,-0.4,0.2,1.8
671 Pig-iron,2018-12,359.48699999999997,12.923,11677.141,1034.071,-0.6,-0.4,0.2,1.8
672 Iron or steel ingots,2018-12,722.148,,203.687,83.306,-0.6,-0.4,0.2,1.8
673 Uncoated flat-rolled iron & steel,2018-12,27767.292,,10471.249999999998,457.903,-0.6,-0.4,0.2,1.8
674 Coated flat-rolled iron & steel,2018-12,29656.878999999997,29.605,36979.65,1694.554,-0.6,-0.4,0.2,1.8
675 Flat-rolled alloy steel,2018-12,5958.352999999999,,17040.18,2321.51,-0.6,-0.4,0.2,1.8
676 Iron & steel bars & rods,2018-12,5702.491999999999,29.577,46827.926,5047.411,-0.6,-0.4,0.2,1.8
677 Rails of iron or steel,2018-12,3309.087,90.762,13993.881,1360.589,-0.6,-0.4,0.2,1.8
678 Wire of iron or steel,2018-12,1216.22,25.466,13822.500999999997,2690.475,-0.6,-0.4,0.2,1.8
679 Tubes & pipes of iron or steel,2018-12,10237.483000000006,1396.515,100239.55600000001,38338.681,-0.6,-0.4,0.2,1.8
681 Silver & platinum,2018-12,86329.37299999999,,16885.444,1251.366,-0.6,-0.4,0.2,1.8
682 Copper,2018-12,381947.42400000006,102451.55,61266.08500000001,14201.182,-0.6,-0.4,0.2,1.8
683 Nickel,2018-12,139094.11000000002,893.106,10936.757,94.184,-0.6,-0.4,0.2,1.8
684 Aluminium,2018-12,414268.96,3789.521,90639.17700000001,33030.438,-0.6,-0.4,0.2,1.8
685 Lead,2018-12,90267.238,23538.947,485.836,,-0.6,-0.4,0.2,1.8
686 Zinc,2018-12,117702.918,46291.698,4887.15,13.793,-0.6,-0.4,0.2,1.8
687 Tin,2018-12,518.659,,498.939,2.716,-0.6,-0.4,0.2,1.8
689 Other non-ferrous metals,2018-12,38594.638,,6734.454000000001,1559.508,-0.6,-0.4,0.2,1.8
"691 Iron, steel, aluminium structures",2018-12,13982.412000000002,613.734,166106.634,116794.284,-0.6,-0.4,0.2,1.8
692 Metal containers,2018-12,8636.434,213.109,22984.087000000007,8575.595,-0.6,-0.4,0.2,1.8
693 Wire products,2018-12,8176.819000000001,2277.189,20055.958,8792.808,-0.6,-0.4,0.2,1.8
"694 Nails, screws, nuts, bolts & rivets",2018-12,21915.930999999997,583.57,67162.44399999997,29888.497,-0.6,-0.4,0.2,1.8
695 Hand or machine tools,2018-12,13952.635999999997,1570.679,80537.53400000001,27030.668,-0.6,-0.4,0.2,1.8
696 Cutlery,2018-12,1717.6979999999999,36.763,23662.224,9547.577,-0.6,-0.4,0.2,1.8
"697 Household equip of base metal, nes",2018-12,4086.5179999999996,2059.973,72409.30200000003,51293.696,-0.6,-0.4,0.2,1.8
"699 Manufactures of base metal, nes",2018-12,45868.35699999999,3199.326,230841.7110000001,121332.995,-0.6,-0.4,0.2,1.8
711 Steam boilers & parts,2018-12,1284.18,47.544,1667.1579999999997,1202.506,-0.6,-0.4,0.2,1.8
712 Steam & other vapour turbines,2018-12,10.049,,19105.904000000002,12.644,-0.6,-0.4,0.2,1.8
713 Internal combustion piston engines,2018-12,43757.910999999986,237.393,122164.975,7255.497,-0.6,-0.4,0.2,1.8
714 Non-electric engines & motors,2018-12,18180.044,310.157,115595.78199999999,819.08,-0.6,-0.4,0.2,1.8
716 Rotating electric plant & parts,2018-12,15276.585,575.669,190892.28300000002,86582.982,-0.6,-0.4,0.2,1.8
718 Power generating machinery & parts,2018-12,15878.922,401.072,81462.514,36174.088,-0.6,-0.4,0.2,1.8
721 Agric machinery (excl tractors) & parts,2018-12,9152.676,146.707,78609.31399999998,10273.67,-0.6,-0.4,0.2,1.8
722 Tractors,2018-12,470.272,,64294.07800000001,963.011,-0.6,-0.4,0.2,1.8
723 Civil engineering equipment & parts,2018-12,60680.24299999999,1431.846,340648.119,35306.87,-0.6,-0.4,0.2,1.8
724 Textile & leather machinery & parts,2018-12,2616.262,53.523,19166.159,2532.834,-0.6,-0.4,0.2,1.8
725 Paper & pulp mill machinery & parts,2018-12,718.5690000000001,59.545,7712.725,1742.702,-0.6,-0.4,0.2,1.8
726 Printing machinery & parts,2018-12,3576.8720000000003,33.808,9816.728000000003,330.874,-0.6,-0.4,0.2,1.8
727 Food processing machines & parts,2018-12,16092.796,1985.256,31708.397000000004,3097.014,-0.6,-0.4,0.2,1.8
728 Specialised machinery & parts,2018-12,147136.353,5775.614,197272.04600000003,38924.063,-0.6,-0.4,0.2,1.8
731 Machine tools for removing metal,2018-12,9914.387999999999,678.758,19648.531000000003,4037.008,-0.6,-0.4,0.2,1.8
733 Machine tools for working metal,2018-12,1526.5220000000002,12,8528.066,2612.094,-0.6,-0.4,0.2,1.8
735 Machine tools parts,2018-12,8734.472000000002,1013.309,6594.0960000000005,471.254,-0.6,-0.4,0.2,1.8
737 Metalworking machinery & parts,2018-12,2677.605,116.887,11468.302000000001,3210.361,-0.6,-0.4,0.2,1.8
741 Heating & cooling equipment & parts,2018-12,25086.496999999996,778.203,266871.068,66832.76,-0.6,-0.4,0.2,1.8
742 Pumps for liquids & parts,2018-12,35278.78500000001,655.769,105782.77100000004,18587.923,-0.6,-0.4,0.2,1.8
